formula,Density Score,Peak Score
SrLi4N2,2.049,2.249
LiB,1.844,1.972
Ca3Au,1.692,-0.167
LiLuPt2,1.691,0.585
Er2ZnRu,1.493,-0.405
LiErGe,1.483,0.869
Li3Au,1.477,0.409
Yb2SbAu,1.405,0.137
Rb3Mg,1.368,0.313
Li7Sn2,1.333,0.432
Yb2AgSn,1.322,0.135
Sr6Sn2NO,1.284,0.422
HoTmMg2,1.275,-0.019
Sm2AgSn,1.260,-0.444
Nd2CdIn,1.187,-0.344
CaSmZn2,1.181,-0.241
LiTmIn2,1.179,0.223
Pr2ZnHg,1.104,-0.516
Sr3MnN3,1.039,0.595
Ca3BiSb,1.027,-0.461
LiTmHg2,0.904,-0.869
NdTmTl2,0.846,-0.778
Li4UO5,0.818,0.360
LiAlPt2,0.534,1.277
TmHfRu2,0.531,-0.473
MgS,0.519,0.911
CuAs,0.506,1.511
MnAlRh2,0.473,0.381
TbGaRh2,0.442,1.126
BeGaRh2,0.386,0.145
ScNbOs2,0.377,-0.105
Ca2MnO4,0.349,1.984
Cs2CrCl4,0.293,1.411
Al(SnO2)2,0.282,0.869
SF6,0.272,1.211
Sc2CoRu,0.257,-0.419
MnSbPd2,0.209,0.030
LiZnAu2,0.195,0.603
MgSiN2,0.191,0.278
CeNiC2,0.183,0.743
Ga2CoS4,0.181,0.136
CrPO4,0.175,0.472
CaCu2O3,0.161,1.234
Cr2FeS4,0.142,0.646
CrGaP2,0.126,0.226
Ti2GaC,0.119,0.847
CaPd3O4,0.092,0.730
ThSiO4,0.058,0.481
U2CrN3,0.040,0.022
Rb2Cr(BrCl)2,0.035,1.010
ZrH3,-0.035,0.464
Mn3O4,-0.038,-0.514
Ho2CF2,-0.127,0.331
ErB2Rh2C,-0.134,-0.265
CeIr2,-0.136,-1.417
Sm2Zr2O7,-0.176,1.043
Sc2CdAg,-0.191,-1.588
Hf4N3,-0.200,-0.221
DyIr3,-0.220,-1.149
Ho2Cr2C3,-0.221,-0.190
Na2Hf2O5,-0.232,0.442
P2Pb2O7,-0.238,0.019
SmMn2O5,-0.253,-0.830
YNiSb,-0.295,0.475
Cs2RbInF6,-0.306,0.406
TbNi2,-0.335,-0.431
ErCdCu4,-0.380,-0.216
DyCuSeO,-0.403,-0.986
Fe3Sn2,-0.403,-0.499
P3N5,-0.410,-0.610
Nd(CoSi)2,-0.421,-0.148
Ho(SiRu)2,-0.433,-0.496
K2SnCl6,-0.435,0.919
Pr(CoSi)2,-0.439,-0.225
RbSbO3,-0.470,0.707
YMg2,-0.503,0.284
Cs2PbCl6,-0.508,0.724
HfPbO3,-0.512,-1.607
LaCu2,-0.514,-0.408
Mg(BeN)2,-0.515,-1.476
AsPdSe,-0.515,-0.518
Fe2W,-0.516,-1.963
BaTe2,-0.520,0.096
TiBiRh,-0.534,-1.280
Ni2Ge,-0.537,-1.031
TaNiGe,-0.558,-1.480
BaTiS3,-0.571,-0.409
ZrGeTe,-0.573,-0.484
NdBPd3,-0.598,-1.356
Sr(ZnGe)2,-0.607,0.086
Ba(CdAs)2,-0.714,-0.542
In2Se3,-0.737,-1.911
Cu3P,-0.754,-1.756
ZnCo3C,-0.811,-2.081
Sc3AlC,-0.826,-1.556
CdCl2,-0.836,-1.708
HoCd3,-0.855,-1.239
TbCd3,-0.883,-1.245
V2C,-0.901,-1.434
Sc,-0.974,-3.473
