formula,prediction,density,Density Score,index
SrLi4N2,86.305,0.150,2.049,8126
LiB,128.929,0.200,1.844,4293
Ca3Au,42.036,0.133,1.692,1065
LiLuPt2,114.197,0.197,1.691,4478
Er2ZnRu,99.850,0.196,1.493,2366
LiErGe,56.670,0.159,1.483,4381
Li3Au,33.729,0.139,1.477,4140
Yb2SbAu,83.089,0.187,1.405,9975
Rb3Mg,23.859,0.138,1.368,6861
Li7Sn2,27.148,0.143,1.333,4239
Yb2AgSn,83.040,0.192,1.322,9954
Sr6Sn2NO,50.487,0.166,1.284,8034
HoTmMg2,85.248,0.197,1.275,3325
Sm2AgSn,85.869,0.199,1.260,7571
Nd2CdIn,84.317,0.202,1.187,6000
CaSmZn2,82.083,0.200,1.181,1307
LiTmIn2,83.986,0.202,1.179,4641
Pr2ZnHg,78.064,0.202,1.104,6558
Sr3MnN3,76.939,0.205,1.039,8007
Ca3BiSb,32.939,0.167,1.027,1069
LiTmHg2,60.299,0.198,0.904,4640
NdTmTl2,64.378,0.206,0.846,6155
Li4UO5,69.000,0.211,0.818,4204
LiAlPt2,123.586,0.277,0.534,4281
TmHfRu2,127.315,0.280,0.531,9217
MgS,119.968,0.275,0.519,5093
CuAs,131.939,0.286,0.506,2091
MnAlRh2,137.061,0.293,0.473,5266
TbGaRh2,126.030,0.285,0.442,8438
BeGaRh2,130.518,0.292,0.386,852
ScNbOs2,125.228,0.288,0.377,7384
Ca2MnO4,95.691,0.264,0.349,1030
Cs2CrCl4,77.763,0.252,0.293,1826
Al(SnO2)2,100.924,0.273,0.282,139
SF6,65.783,0.243,0.272,7074
Sc2CoRu,119.275,0.290,0.257,7168
MnSbPd2,117.842,0.292,0.209,5373
LiZnAu2,100.094,0.277,0.195,4682
MgSiN2,104.296,0.281,0.191,5115
CeNiC2,109.618,0.287,0.183,1560
Ga2CoS4,95.500,0.274,0.181,2674
CrPO4,85.389,0.266,0.175,1787
CaCu2O3,97.576,0.277,0.161,1177
Cr2FeS4,97.866,0.279,0.142,1698
CrGaP2,104.801,0.286,0.126,1766
Ti2GaC,114.697,0.295,0.119,8693
CaPd3O4,93.365,0.278,0.092,1270
ThSiO4,77.977,0.267,0.058,8639
U2CrN3,110.245,0.296,0.040,9287
Rb2Cr(BrCl)2,63.596,0.255,0.035,6763
ZrH3,50.260,0.248,-0.035,10471
Mn3O4,81.568,0.276,-0.038,5230
Ho2CF2,46.587,0.251,-0.127,3185
ErB2Rh2C,92.593,0.291,-0.134,2384
CeIr2,82.944,0.283,-0.136,1545
Sm2Zr2O7,68.442,0.273,-0.176,7608
Sc2CdAg,88.367,0.291,-0.191,7161
Hf4N3,92.185,0.295,-0.200,2946
DyIr3,77.062,0.283,-0.220,2263
Ho2Cr2C3,76.976,0.283,-0.221,3189
Na2Hf2O5,55.206,0.265,-0.232,5475
P2Pb2O7,61.947,0.271,-0.238,6298
SmMn2O5,59.751,0.270,-0.253,7724
YNiSb,62.519,0.275,-0.295,9851
Cs2RbInF6,35.548,0.252,-0.306,1888
TbNi2,65.653,0.280,-0.335,8458
ErCdCu4,75.028,0.291,-0.380,2394
DyCuSeO,56.549,0.276,-0.403,2242
Fe3Sn2,74.294,0.292,-0.403,2587
P3N5,55.863,0.276,-0.410,6305
Nd(CoSi)2,69.994,0.289,-0.421,5981
Ho(SiRu)2,70.240,0.290,-0.433,3178
K2SnCl6,25.614,0.251,-0.435,3510
Pr(CoSi)2,67.877,0.289,-0.439,6525
RbSbO3,26.385,0.254,-0.470,6979
YMg2,50.869,0.278,-0.503,9816
Cs2PbCl6,20.238,0.251,-0.508,1870
HfPbO3,41.409,0.270,-0.512,3060
LaCu2,56.270,0.283,-0.514,3852
Mg(BeN)2,56.079,0.283,-0.515,4839
AsPdSe,56.262,0.283,-0.515,352
Fe2W,64.893,0.291,-0.516,2569
BaTe2,26.183,0.257,-0.520,744
TiBiRh,68.947,0.296,-0.534,8848
Ni2Ge,64.471,0.292,-0.537,6171
TaNiGe,65.335,0.294,-0.558,8321
BaTiS3,31.073,0.265,-0.571,751
ZrGeTe,57.001,0.287,-0.573,10467
NdBPd3,58.452,0.290,-0.598,6045
Sr(ZnGe)2,53.285,0.286,-0.607,7904
Ba(CdAs)2,43.840,0.285,-0.714,422
In2Se3,29.837,0.274,-0.737,3346
Cu3P,49.656,0.292,-0.754,2071
ZnCo3C,45.532,0.292,-0.811,10231
Sc3AlC,46.802,0.294,-0.826,7232
CdCl2,11.854,0.264,-0.836,1387
HoCd3,31.454,0.283,-0.855,3230
TbCd3,31.292,0.284,-0.883,8415
V2C,43.881,0.296,-0.901,9401
Sc,21.219,0.281,-0.974,7129
